import time: self [us] | cumulative | imported package
import time:    449801 |    3331577 |             numpy.random
import time:    206047 |    3537624 |           pandas._typing
import time:     21576 |      21576 |           pandas.util._exceptions
import time:    440781 |    3999980 |         pandas._config.config
import time:     27417 |      27417 |         pandas._config.dates
import time:     66781 |      66781 |         pandas._config.display
import time:    488244 |    4582421 |       pandas._config
import time:     22161 |      22161 |         pandas.core
import time:    170621 |     192781 |       pandas.core.config_init
import time:     37163 |      37163 |           pandas._libs.pandas_parser
import time:     19350 |      19350 |           pandas._libs.pandas_datetime
import time:     27876 |      27876 |                       pandas._libs.tslibs.ccalendar
import time:     25024 |      25024 |                       pandas._libs.tslibs.np_datetime
import time:    477071 |     529970 |                     pandas._libs.tslibs.dtypes
import time:     33615 |      33615 |                       pandas._libs.tslibs.base
import time:     35905 |      35905 |                           pandas._libs.tslibs.nattype
import time:     26548 |      26548 |                               pandas.compat._optional
import time:      1863 |       1863 |                                 zoneinfo._tzpath
import time:      1256 |       1256 |                                 zoneinfo._common
import time:      7739 |       7739 |                                 _zoneinfo
import time:    577417 |     588273 |                               zoneinfo
import time:     29552 |      29552 |                                   six
import time:       337 |        337 |                                   six.moves
import time:     21733 |      21733 |                                   dateutil.tz._common
import time:     22126 |      22126 |                                   dateutil.tz._factories
import time:      2378 |       2378 |                                     ctypes.wintypes
import time:    255590 |     257967 |                                   dateutil.tz.win
import time:   1092347 |    1424061 |                                 dateutil.tz.tz
import time:    267038 |    1691098 |                               dateutil.tz
import time:    619480 |    2925398 |                             pandas._libs.tslibs.timezones
import time:      7107 |       7107 |                               _strptime
import time:    106819 |     106819 |                                   fcntl
import time:       224 |        224 |                                   msvcrt
import time:    411570 |     518613 |                                 subprocess
import time:    190862 |     709474 |                               pandas._config.localization
import time:    457204 |    1173785 |                             pandas._libs.tslibs.fields
import time:    449406 |    4548587 |                           pandas._libs.tslibs.timedeltas
import time:     25212 |      25212 |                           pandas._libs.tslibs.tzconversion
import time:    711686 |    5321389 |                         pandas._libs.tslibs.timestamps
import time:     22873 |      22873 |                         pandas._libs.properties
import time:    472448 |    5816708 |                       pandas._libs.tslibs.offsets
import time:     19398 |      19398 |                             dateutil._common
import time:    231946 |     251343 |                           dateutil.parser._parser
import time:     17433 |      17433 |                           dateutil.parser.isoparser
import time:    418393 |     687167 |                         dateutil.parser
import time:     26291 |      26291 |                         pandas._libs.tslibs.strptime
import time:    443915 |    1157373 |                       pandas._libs.tslibs.parsing
import time:    614117 |    7621812 |                     pandas._libs.tslibs.conversion
import time:     26340 |      26340 |                     pandas._libs.tslibs.period
import time:     29332 |      29332 |                     pandas._libs.tslibs.vectorized
import time:    807474 |    9014926 |                   pandas._libs.tslibs
import time:    170797 |    9185723 |                 pandas._libs.tslibs.nattype
import time:     24174 |      24174 |                 pandas._libs.ops_dispatch
