archetype_id,year,technology,capacity_gw
fossil_incumbent,2030,Wind,14.91837
fossil_incumbent,2035,Biomass,8.915133563658468e-06
fossil_incumbent,2035,Black Coal,13.555
fossil_incumbent,2035,Brown Coal,4.82
fossil_incumbent,2035,Gas,12.334048691275916
fossil_incumbent,2035,Hyblend,0.4
fossil_incumbent,2035,Hydrogen,0.0
fossil_incumbent,2035,Liquid Fuel,0.1035
fossil_incumbent,2035,Solar,12.78858
fossil_incumbent,2035,Water,10.004615543996703
fossil_incumbent,2035,Wind,15.418492294403508
fossil_incumbent,2040,Biomass,0.6943551220303673
fossil_incumbent,2040,Black Coal,12.855
fossil_incumbent,2040,Brown Coal,3.37
fossil_incumbent,2040,Gas,13.35470606180095
fossil_incumbent,2040,Hyblend,0.4
fossil_incumbent,2040,Hydrogen,0.0
fossil_incumbent,2040,Liquid Fuel,0.1035
fossil_incumbent,2040,Solar,12.78858
fossil_incumbent,2040,Water,11.437553938724173
fossil_incumbent,2040,Wind,17.71390092127369
fossil_incumbent,2045,Biomass,5.316876175432689
fossil_incumbent,2045,Black Coal,7.14
fossil_incumbent,2045,Brown Coal,1.16
fossil_incumbent,2045,Gas,11.686437297825279
fossil_incumbent,2045,Hyblend,0.4
fossil_incumbent,2045,Hydrogen,0.0
fossil_incumbent,2045,Liquid Fuel,0.1035
fossil_incumbent,2045,Solar,12.78858
fossil_incumbent,2045,Water,11.249218150433716
fossil_incumbent,2045,Wind,16.28117271008598
fossil_incumbent,2050,Biomass,17.81735926387112
fossil_incumbent,2050,Black Coal,3.9
fossil_incumbent,2050,Brown Coal,1.16
fossil_incumbent,2050,Gas,2.756252743767529
fossil_incumbent,2050,Hyblend,0.4
fossil_incumbent,2050,Hydrogen,0.0
fossil_incumbent,2050,Liquid Fuel,0.1035
fossil_incumbent,2050,Solar,12.78858
fossil_incumbent,2050,Water,11.573824009678969
fossil_incumbent,2050,Wind,20.22565076153055
gas_fleet_maintained,2025,Biomass,0.0
gas_fleet_maintained,2025,Black Coal,13.555
gas_fleet_maintained,2025,Brown Coal,4.82
gas_fleet_maintained,2025,Gas,11.873959999999999
gas_fleet_maintained,2025,Hydrogen,7.26525785026647
gas_fleet_maintained,2025,Liquid Fuel,0.6635
gas_fleet_maintained,2025,Solar,10.742492849051542
gas_fleet_maintained,2025,Water,6.83712
gas_fleet_maintained,2025,Wind,13.384970297778418
nuclear_baseload,2025,Biomass,0.0
nuclear_baseload,2025,Black Coal,13.555
nuclear_baseload,2025,Brown Coal,4.82
nuclear_baseload,2025,Gas,11.873959999999999
nuclear_baseload,2025,Hydrogen,7.266112525552597
nuclear_baseload,2025,Liquid Fuel,0.6635
nuclear_baseload,2025,Nuclear,0.0
nuclear_baseload,2025,Solar,10.74249
nuclear_baseload,2025,Water,6.83712
nuclear_baseload,2025,Wind,13.384970108487735
nuclear_baseload,2030,Biomass,0.0
nuclear_baseload,2030,Black Coal,12.855
nuclear_baseload,2030,Brown Coal,3.37
nuclear_baseload,2030,Gas,12.178589734936901
nuclear_baseload,2030,Hyblend,0.4
nuclear_baseload,2030,Hydrogen,0.0
nuclear_baseload,2030,Liquid Fuel,0.527
nuclear_baseload,2030,Nuclear,0.0
nuclear_baseload,2030,Solar,12.788982940292518
nuclear_baseload,2030,Water,9.362697310500746
nuclear_baseload,2030,Wind,17.148106886874476
nuclear_baseload,2035,Biomass,0.17382052147980903
nuclear_baseload,2035,Black Coal,7.14
nuclear_baseload,2035,Brown Coal,1.16
nuclear_baseload,2035,Gas,19.44405825398249
nuclear_baseload,2035,Hyblend,0.4
nuclear_baseload,2035,Hydrogen,0.0
nuclear_baseload,2035,Liquid Fuel,0.1035
nuclear_baseload,2035,Nuclear,0.0
nuclear_baseload,2035,Solar,13.353579710772529
nuclear_baseload,2035,Water,11.442273666862455
nuclear_baseload,2035,Wind,19.800942956322082
nuclear_baseload,2040,Biomass,4.814449357234254
nuclear_baseload,2040,Black Coal,3.9
nuclear_baseload,2040,Brown Coal,1.16
nuclear_baseload,2040,Gas,16.611112941256383
nuclear_baseload,2040,Hyblend,0.4
nuclear_baseload,2040,Hydrogen,0.0
nuclear_baseload,2040,Liquid Fuel,0.1035
nuclear_baseload,2040,Nuclear,0.0
nuclear_baseload,2040,Solar,14.320750384778075
