sweep_id,carbon_price_aud_per_tco2e,tns_price_aud_per_tco2,year,cost_per_mwh_excl_fuel_carbon,co2_t_per_mwh,co2e_total_t_per_mwh,gj_per_mwh_coal,gj_per_mwh_diesel,gj_per_mwh_natural_gas,gj_per_mwh_biomass,annual_generation_twh,solve_gap_rel,solve_pinf_rel,solve_dinf_rel,solve_iterations,solve_wall_s,solve_model_status,tolerance_robust,carried_capex_aud_per_yr,carried_vintages,carried_gw,existing_fleet_fom_aud_per_yr,existing_fleet_active_gw,renewable_share_pct_bulk_grid,diagnostic_cost_per_mwh_year_t_incremental,diagnostic_bundled_cost_per_mwh,diagnostic_fuel_cost_per_mwh,diagnostic_carbon_cost_per_mwh
c250,250.0,0.0,2050,35.8432029171422,0.0034146183487181,0.0104615662267047,3.6701170842919377e-07,8.407731961734608e-07,0.4408488418862244,3.910173097548027,251.92536408431025,0.0615,0.00781,2.14,196,4910.261216798797,Optimal,False,7901408603.08204,4,57.388722091974415,78016990.45556064,61.768286267968016,94.78049598680433,4.169434686059374,15.042286714149183,8.257460471413626,2.615391556676184
c350,350.0,0.0,2030,24.10798145407969,0.0067156063952326,0.008329891877356,0.0031367409058522,3.215172732505448e-05,0.7938875217019068,0.887365319570292,189.817959898235,1.08,0.00267,0.000484,131,9822.222046200186,Optimal,True,0.0,0,0.0,365483677.6200249,77.4919368495511,91.32589204904411,22.18253837263488,36.177663399600746,11.079662869891257,2.915462157074617
c350,350.0,0.0,2035,26.467643290822604,0.0046863999640522,0.0079238716705737,0.0008686904944402,2.589658728739344e-06,0.6493603489133627,1.79200436701847,219.33623201088184,0.666,0.0003,7.65e-05,157,17797.704812999815,Optimal,True,3709080453.64258,1,33.548875078933435,269036400.92260486,74.79742070123854,92.55594046610128,8.3305721006518,20.53355811983565,9.429630934483026,2.773355084700824
c350,350.0,0.0,2040,32.15172880310577,0.0039122610381442,0.0093673509840911,0.0030179712375841,1.364008019993135e-06,0.5868328549349514,3.02508753931281,239.3949206418274,0.823,0.00567,0.00134,158,9431.870615599675,Optimal,True,5095561311.250887,2,43.0296047473392,260321375.95297468,73.47265680967641,93.19390728078048,9.77914598955014,22.70460391847877,9.646885084496748,3.278572844431886
c350,350.0,0.0,2045,34.14413534635298,0.0030814904511594,0.0095312650607195,1.175581380609026e-06,1.1669595055179314e-06,0.4591601756527615,3.5788782096830234,247.15810128266003,0.605,0.00168,0.000202,140,8454.959503499791,Optimal,True,7049495677.7048855,3,53.98017581883528,149776705.57488897,67.89669067947213,94.6009147678758,5.015928154607348,16.69900977528546,8.347138849426278,3.335942771251834
c350,350.0,0.0,2050,36.27112077250422,0.0030220298654129,0.0100190492281851,1.496768313983991e-07,8.606467123375089e-07,0.4325691652564642,3.882986660379579,251.92536408431025,0.0583,0.00863,2.12,190,5039.301580298692,Optimal,False,8043194926.485844,4,58.55651612033514,75542498.8127007,61.697586196600575,94.8857248626544,4.044364031243748,15.684020266301363,8.132989005192814,3.506667229864803
c550,550.0,0.0,2030,24.758965626045,0.0053269059127419,0.0069177222367283,0.0013983197165666,5.195984632112864e-05,0.7678102584546715,0.8762887958519401,189.817959898235,0.923,0.00221,0.000157,132,4599.649257600308,Optimal,True,0.0,0,0.0,328272674.722998,76.94439730965706,91.62047164918702,23.02955775073651,37.556261219707885,10.721956238770808,3.8047472302005634
c550,550.0,0.0,2035,27.25656298835098,0.0039993599013171,0.0072021023602242,0.0005825822479923,1.5272473380691322e-06,0.6162454559945106,1.7736777365926846,219.33623201088184,0.708,0.00493,0.00046,169,5999.772082800046,Optimal,True,3908350482.074647,1,35.432202969535524,251032549.46797976,74.4061162230233,92.90941927220592,8.293061183796095,21.250453884204823,8.996236402285415,3.961156298123315
c550,550.0,0.0,2040,32.74929049338812,0.003410356869632,0.0088259432179763,0.0010061204058724,1.0996083396667656e-06,0.5635544816767009,3.003860183992017,239.3949206418274,0.786,0.00374,0.000378,180,6448.1574538983405,Optimal,True,5296757670.853663,2,44.6912942205342,245946718.388852,73.27590858941895,93.47196946160987,9.596316427011525,23.77398548271448,9.32340028581597,4.854268769886979
c550,550.0,0.0,2045,34.91674301757983,0.0026750042753198,0.008977198151671,4.3288334681928373e-07,1.2679306767494406e-06,0.4397642133430821,3.497460072468889,247.15810128266003,0.682,0.00183,0.000201,149,4984.745882298797,Optimal,True,7221538160.966134,3,55.30515761537664,144113976.26234034,67.819081820983,94.81172231067085,5.11536447079768,18.093536605147825,8.04071315093106,4.937458983419086
c550,550.0,0.0,2050,36.87531518808464,0.0025844777687127,0.0094899912829274,1.287607599366264e-07,8.971075695638056e-07,0.4253940696295116,3.832764880646668,251.92536408431025,0.0677,0.00586,2.12,181,4786.584768101573,Optimal,False,8208192323.204049,4,59.8878483475135,69613224.18314779,61.52817664702904,94.96827199362502,4.017148732812926,17.244120430726866,8.007476492303867,5.219495205610073
